recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Corporations,31094,287768,29472672,9887207,Germany,2019,0,1,0,0.03757343815481138,0.057292794419099916,0.05852690780892077,19585465,0.07794327647870117
Individuals,84971,53923,322960,83066,Hong Kong,2019,1,1,0,0.07365985721341814,0.03974153237471776,0.032876528941799904,239894,0.03427637882646974
Corporations,5306,128037,2775819,2147214,Hong Kong,2019,1,1,0,0.00815985873807893,0.005395996240572674,0.009987257118226463,628605,0.0025016272685327587
Individuals,76180,10441,124430,6794,Ireland,2019,0,1,0,0.006024667973755362,0.015311614049374941,0.02947516181740025,117636,0.01680799061098066
Corporations,21429,1413274,40272087,26241396,Ireland,2019,0,1,0,0.09972274978180538,0.0782860950415051,0.040334891214940605,14030691,0.055837225605836996
Individuals,3074,805,13959,3926,Luxembourg,2019,0,1,0,0.003481431625693781,0.001717711327776459,0.0011893757866459486,10033,0.0014335285949876651
Corporations,28199,1568582,37831385,25535286,Luxembourg,2019,0,1,0,0.09703938526688284,0.0735415425990158,0.053077772988478704,12296099,0.048934158263103836
Individuals,298541,149009,1063580,317795,Mexico,2019,0,1,0,0.28180885468348327,0.13087781459964798,0.11550990134062074,745785,0.10655876838561505
Corporations,8477,184385,5723278,947236,Mexico,2019,0,1,0,0.0035996933475764097,0.011125648528146933,0.01595589494745679,4776042,0.019006970836785795
Individuals,502870,169976,1822005,163336,United Kingdom,2019,0,1,0,0.14484032501638294,0.22420507398562556,0.19456779500021087,1658669,0.23699286764871877
Corporations,50196,515631,138132964,35457368,United Kingdom,2019,0,1,0,0.13474535565811335,0.26852073368009965,0.09448178633744732,102675596,0.40861283439752
Individuals,209431,47757,363331,33775,Australia,2020,0,1,0,0.02603066801900258,0.02774556047817566,0.07190561501787761,329556,0.02793416557068067
Corporations,16077,341630,6099926,2426536,Australia,2020,0,1,0,0.011799106286270226,0.013741379522565881,0.02869637390784389,3673390,0.015417888193673178
Individuals,7870,5903,49894,11335,Bermuda,2020,1,1,0,0.00873597696507459,0.003810126288420466,0.00270206984730387,38559,0.0032683777271233904
Corporations,12610,277179,10656155,9256235,Bermuda,2020,1,1,0,0.045008728729223256,0.02400525352377849,0.02250800988853091,1399920,0.005875719713966378
Individuals,2332,2001,24899,12302,British Virgin Islands,2020,1,1,0,0.009481251753361059,0.0019013976521301396,8.006641529749206e-4,12597,0.0010677599063402409
Corporations,103383,266948,3531492,2381303,British Virgin Islands,2020,1,1,0,0.011579159425952942,0.00795543615658702,0.1845317673517836,1150189,0.004827553133098516
Individuals,528375,140524,2104065,69630,Canada,2020,0,1,0,0.05366440900557068,0.16067569986462116,0.18141120147003587,2034435,0.1724448777530609
Corporations,79598,693134,43606785,16678946,Canada,2020,0,1,0,0.08110189034778863,0.09823354946337595,0.1420771269712358,26927839,0.1130210543936887
Individuals,4029,8132,89614,40695,Cayman Islands,2020,1,1,1,0.03136396846878786,0.006843320984697792,0.001383308693111473,48919,0.004146522732258334
Corporations,184356,2488202,98292459,83207300,Cayman Islands,2020,1,1,1,0.40459806757186895,0.2214246506146544,0.3290631777168917,15085159,0.0633151652413119
Individuals,416880,39820,3831916,216008,China,2020,0,1,0,0.16647912768167902,0.29262203644965323,0.14313073417332112,3615908,0.30649532328450646
Corporations,3812,140658,3402308,1607178,China,2020,0,1,0,0.007814952690978089,0.007664421745552663,0.006804166034502762,1795130,0.007534488206563564
Individuals,128617,49367,531982,16031,France,2020,0,1,0,0.01235522247261674,0.040624495994838986,0.04415910006997228,515951,0.04373357080544206
Corporations,11532,64225,40113324,15520973,France,2020,0,1,0,0.07547121085091275,0.09036378621570991,0.02058385170773501,24592351,0.10321858505020343
Individuals,415762,59161,928851,66461,Germany,2020,0,1,0,0.051222034854505716,0.07093116633514328,0.14274688231953642,862390,0.07309879063497343
Corporations,33610,443908,27427585,7072398,Germany,2020,0,1,0,0.03438975383048303,0.06178646345421815,0.0599916108131264,20355187,0.08543443449437978
Individuals,171415,58557,393080,83087,Hong Kong,2020,1,1,0,0.0640358286808251,0.030017325559231908,0.05885327863730532,309993,0.026275946387721703
Corporations,5649,183145,3205259,2212014,Hong Kong,2020,1,1,0,0.010755986431982771,0.007220527001002962,0.010083088648716187,993245,0.004168830524100331
Individuals,99099,11948,1293652,343521,Ireland,2020,0,1,0,0.2647544369668626,0.0987889825082718,0.03402444978373141,950131,0.08053598377160906
Corporations,23269,1447348,36701895,19518557,Ireland,2020,0,1,0,0.09490958658665015,0.08267881747948468,0.041533614757829164,17183338,0.07212160540484285
Individuals,4648,802,8762,755,Luxembourg,2020,0,1,0,5.818846588999837e-4,6.691050334537244e-4,0.00159583489838226,8007,6.786975922891409e-4
Corporations,29758,1634015,26585538,19019492,Luxembourg,2020,0,1,0,0.09248286760174433,0.05988957365541764,0.05311604744352917,7566046,0.031756075803600535
Individuals,318183,161981,1008129,217730,Mexico,2020,0,1,0,0.1678062871288655,0.07698518469192761,0.10924430625472518,790399,0.06699661524263079
Corporations,7814,170456,67870181,710206,Mexico,2020,0,1,0,0.0034533986222115938,0.15289200481878631,0.013947469410704245,67159975,0.2818826712219192
Individuals,605941,172867,2466929,186178,United Kingdom,2020,0,1,0,0.14348890334394857,0.18838559815943423,0.20804255468172225,2280751,0.19332336859136387
Corporations,48777,485301,76416381,26043082,United Kingdom,2020,0,1,0,0.12663529102393328,0.17214413634886594,0.08706369534757115,50373299,0.21142592861865167
Individuals,225290,48348,378172,30702,Australia,2021,0,1,0,0.03777759184155609,0.03963530721366742,0.08953082651787914,347470,0.039808275955776115
Corporations,16267,435207,9096955,2287686,Australia,2021,0,1,0,0.014316044041244527,0.02479358725479138,0.030696507085841526,6809269,0.03287773516475315
